generated values: x=  11 and y= 9, but were invalid
generated values: x=  27 and y= 10, but were invalid
generated values: x=  22 and y= 14, but were invalid
generated values: x=  6 and y= 2, but were invalid
generated values: x=  27 and y= 5, but were invalid
generated values: x=  19 and y= 9, but were invalid
generated values: x=  16 and y= 4, but were invalid
generated values: x=  9 and y= 12, but were invalid
generated values: x=  7 and y= 12, but were invalid
generated values: x=  12 and y= 3, but were invalid
generated values: x=  13 and y= 4, but were invalid
generated values: x=  8 and y= 3, but were invalid
generated values: x=  19 and y= 8, but were invalid
generated values: x=  6 and y= 10, but were invalid
generated values: x=  21 and y= 13, but were invalid
generated values: x=  19 and y= 13, but were invalid
generated values: x=  13 and y= 6, but were invalid
generated values: x=  13 and y= 9, but were invalid
generated values: x=  24 and y= 7, but were invalid
generated values: x=  9 and y= 7, but were invalid
generated values: x=  26 and y= 2, but were invalid
generated values: x=  12 and y= 4, but were invalid
generated values: x=  21 and y= 13, but were invalid
generated values: x=  15 and y= 8, but were invalid
